tx_id,product_id,trans_date,amt,qty
1,CS1133,01-Apr-12,61,2
2,CS3630,01-Apr-12,44,3
3,CS3327,01-Apr-12,57,1
4,CS1874,01-Apr-12,70,2
5,CS1737,01-Apr-12,93,1
6,CS2621,01-Apr-12,48,1
7,CS5116,01-Apr-12,77,3
8,CS5043,01-Apr-12,50,3
9,CS4308,01-Apr-12,68,3
10,CS1974,01-Apr-12,56,3
11,CS5556,01-Apr-12,44,3
12,CS3191,01-Apr-12,102,1
13,CS1642,01-Apr-12,86,3
14,CS4677,01-Apr-12,69,1
15,CS1923,01-Apr-12,103,2
16,CS2415,01-Apr-12,62,3
17,CS2168,01-Apr-12,102,1
18,CS2293,01-Apr-12,37,2
19,CS4516,01-Apr-12,67,2
20,CS4435,01-Apr-12,46,2
21,CS1392,01-Apr-12,90,1
22,CS5535,01-Apr-12,53,3
23,CS2707,01-Apr-12,95,3
24,CS3009,01-Apr-12,62,3
25,CS3301,01-Apr-12,87,1
26,CS6028,01-Apr-12,93,1
27,CS2139,01-Apr-12,76,2
28,CS4745,01-Apr-12,94,2
29,CS5282,01-Apr-12,62,3
30,CS5360,01-Apr-12,87,1
31,CS2417,01-Apr-12,86,3
32,CS2297,01-Apr-12,60,1
33,CS2878,01-Apr-12,61,2
34,CS2960,01-Apr-12,49,2
35,CS3857,01-Apr-12,69,1
36,CS1995,01-Apr-12,73,2
37,CS4761,01-Apr-12,80,3
38,CS3484,01-Apr-12,41,3
39,CS3967,01-Apr-12,74,3
40,CS4452,01-Apr-12,56,3
41,CS5841,01-Apr-12,38,3
42,CS4967,01-Apr-12,47,3
43,CS4972,01-Apr-12,38,3
44,CS5657,01-Apr-12,102,1
45,CS6035,01-Apr-12,102,1
46,CS3449,01-Apr-12,72,1
47,CS4244,01-Apr-12,78,1
48,CS3373,01-Apr-12,41,3
49,CS4712,01-Apr-12,80,3
50,CS3901,01-Apr-12,88,2
51,CS2099,01-Apr-12,42,1
52,CS3985,01-Apr-12,71,3
53,CS2210,01-Apr-12,74,3
54,CS3498,01-Apr-12,105,1
55,CS5894,01-Apr-12,97,2
56,CS3278,01-Apr-12,62,3
57,CS6015,01-Apr-12,86,3
58,CS5770,01-Apr-12,78,1
59,CS5860,01-Apr-12,53,3
60,CS1939,01-Apr-12,98,3
61,CS3570,01-Apr-12,50,3
62,CS4526,01-Apr-12,38,3
63,CS1933,01-Apr-12,53,3
64,CS1481,01-Apr-12,83,3
65,CS7133,01-Apr-12,16,2
66,CS7874,01-Apr-12,65,3
67,CS7737,01-Apr-12,29,3
68,CS8621,01-Apr-12,75,1
69,CS7642,01-Apr-12,37,2
70,CS7923,01-Apr-12,44,3
71,CS8415,01-Apr-12,60,1
72,CS8168,01-Apr-12,12,1
73,CS8293,01-Apr-12,45,1
74,CS7392,01-Apr-12,58,2
75,CS8707,01-Apr-12,14,3
76,CS8139,01-Apr-12,66,1
77,CS8417,01-Apr-12,59,3
78,CS8297,01-Apr-12,69,1
79,CS8878,01-Apr-12,46,2
80,CS8960,01-Apr-12,66,1
81,CS7995,01-Apr-12,46,2
82,CS8099,01-Apr-12,39,1
83,CS8210,01-Apr-12,49,2
84,CS7939,01-Apr-12,25,2
85,CS1512,01-Apr-13,54,1
86,CS1425,01-Apr-13,36,1
87,CS3452,01-Apr-13,60,1
