Agent,Status,DateStarted,DateEnded,TotalOffers,Agreement
Breadth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Depth & Competitive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Concessive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Depth & Concessive,Not Started,,,0,
Breadth & Competitive,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
Breadth & Mono-utility,Not Started,,,0,
